Visakhapatnam,Pedagantyada,530044,Gas,17.671702,83.185371,Unknown,Lakshmi Durga Filling Station,Gajuwaka Bypass Rd| Pedagantyada| Visakhapatnam| Andhra Pradesh 530044| India
Visakhapatnam,Gajuwaka,530026,Gas,17.577058,83.193482,HP Petrol,Unknown,Gajuwaka Bypass Rd| Chinagantyada| Chaitanya Nagar| Gajuwaka| Visakhapatnam| Andhra Pradesh 530026| India
Visakhapatnam,Gajuwaka,530026,Gas,17.683408,83.186198,HP Petrol,Unknown,. NO: 123/4| RAM Nagar Village Vadlapudi Post Mandal| Sri Nagar| Gajuwaka| Visakhapatnam| Andhra Pradesh 530026| India
Visakhapatnam,Gajuwaka,530026,Gas,17.683294,83.190821,Indian Oil Petrol,Hanuman Petroleum,27Unknown1Unknown23| NH16| Coastal Andhra Region| NH16| Coastal Andhra Region| Chaitanya Nagar| Gajuwaka| Visakhapatnam| Andhra Pradesh 530026| India
Visakhapatnam,Gajuwaka,530026,Gas,17.684401,83.20267,Indian Oil Petrol,Unknown,Old Gajuwaka Main Road| Old Gajuwaka| Chaitanya Nagar| Auto Nagar| Visakhapatnam| Andhra Pradesh 530026| India
Visakhapatnam,Pedagantyada,530044,Gas,17.684083,83.202336,Unknown Petrol,Unknown,Chaitanya Nagar| Gajuwaka| Visakhapatnam| Andhra Pradesh 530044| India
Visakhapatnam,Pedagantyada,530044,Gas,17.683363,83.208605,HP Petrol,Mummana Petroleum,S. NO. 43/5| Peda Gantyada Municipality| Dayal Nagar| Pedagantyada| Gajuwaka part| Andhra Pradesh 530044| India
Visakhapatnam,Gajuwaka,530026,Gas,17.679709,83.214737,HP Petrol,Sree Venkayamma Kaniki Reddy Agency ,S NO 79| Kakatiya ITI RD Junction Balacheruvu Road Gajuwaka| Azeemabad| Gajuwaka| Visakhapatnam| Andhra Pradesh 530026| India
Visakhapatnam,Gajuwaka,530026,Gas,17.685576,83.216743,BP Petrol,Unknown,Main Road| New Gajuwaka| Gajuwaka| Visakhapatnam| Andhra Pradesh 530026| India
Visakhapatnam,Gajuwaka,530026,Gas,17.685837,83.217065,Indian Oil Petrol,M. Pydichetty Son,13Unknown1Unknown7/2| High School Rd| Gajuwaka| Visakhapatnam| Andhra Pradesh 530026| India
Visakhapatnam,Akkireddypalem,530012,Gas,17.716418,83.204561,BP Petrol,Unknown,NH16| Gajuwaka| Akkireddypalem| Visakhapatnam| Andhra Pradesh 530012| India
